GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,AMAXE001,AMAXE002,AMAXE003,AMAXE004,AMAXE005,AMAXE006,AMAXE007,AMAXE008,AMAXE009,AMAXE010,AMAXE011,AMAXE012,AMAXE013,AMAXE014,AMAXE015,AMAXE016,AMAXE017,AMAXE018,AMAXE019,AMAXE020,AMAXE021,AMAXE022,AMAXE023,AMAXE024,AMAXE025,AMAXE026,AMAXE027,AMAXE028,AMAXE029,AMAXE030,AMAXE031,AMAXE032,AMAXE033,AMAXE034,AMAXE035,AMAXE036,AMAXE037,AMAXE038,AMAXE039,AMAXE040,AMAXE041,AMAXE042,AMAXE043,AMAXE044,AMAXE045,AMAXE046,AMAXE047,AMAXE048,AMAXE049,AMAXE050,AMAXE051,AMAXE052,AMAXE053,AMAXE054,AMAXE055,AMAXE056,AMAXE057
"G1800830","2015-2019","IN",,,"Indiana","18","Knox County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18083","Knox County, Indiana",,35568,18061,4478,159,1199,659,647,836,640,171,167,354,12,98,166,64,11,3,0,0,13229,214,125,32,11,185,1086,2116,9460,17507,3975,140,1185,705,556,531,470,199,189,373,120,53,75,71,9,12,0,33,13159,42,20,13,82,71,756,1882,10293
"G1800850","2015-2019","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",,76006,37868,7248,167,2114,2378,1415,464,314,132,264,1578,145,352,325,126,182,219,134,95,29042,669,319,34,130,371,2075,5015,20429,38138,7321,266,2058,2235,1404,424,385,284,265,1800,244,323,274,155,222,435,34,113,29017,603,192,71,45,326,1719,4663,21398
"G1800870","2015-2019","IN",,,"Indiana","18","LaGrange County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18087","LaGrange County, Indiana",,37184,18818,2706,82,754,1128,465,175,72,11,19,1476,114,397,786,91,57,6,0,25,14636,718,460,70,545,336,1474,2265,8768,18366,2934,54,787,1153,626,91,122,44,57,1228,0,428,615,55,17,59,2,52,14204,653,380,87,387,362,947,2240,9148
"G1800890","2015-2019","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",,468632,226040,51339,1789,13287,15604,9304,3534,4455,1795,1571,7111,705,1658,1365,960,665,733,448,577,167590,3629,669,406,282,1912,10499,26992,123201,242592,52083,1915,12731,14147,8958,3874,4864,2682,2912,9212,954,1873,1961,1084,516,901,959,964,181297,3284,806,228,263,1554,9401,26507,139254
"G1800910","2015-2019","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",,106369,54840,9422,107,2641,3135,1758,677,563,308,233,1664,174,332,275,206,161,220,172,124,43754,1119,229,38,135,458,3044,7759,30972,51529,9822,229,2613,2959,1780,661,609,626,345,1665,201,350,418,188,37,203,99,169,40042,901,93,20,94,406,2113,5387,31028
"G1800930","2015-2019","IN",,,"Indiana","18","Lawrence County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18093","Lawrence County, Indiana",,44015,21614,4349,109,1284,1343,782,272,258,82,219,615,65,163,127,112,25,28,77,18,16650,255,36,0,34,221,995,2453,12656,22401,4231,65,1177,1131,855,189,370,243,201,545,100,161,148,13,20,40,25,38,17625,342,135,0,19,262,716,2216,13935
"G1800950","2015-2019","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",,124922,62281,12285,278,3255,3843,2365,738,843,437,526,1876,227,279,412,223,153,234,138,210,48120,911,364,64,30,746,3045,7854,35106,62641,11433,240,2928,3533,2117,673,613,633,696,2664,127,370,459,252,591,481,124,260,48544,1052,291,20,56,307,2722,7026,37070
"G1800970","2015-2019","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",,910377,437310,97556,3771,27620,26898,15806,5820,8330,5294,4017,19456,2367,4146,4088,1913,1542,2888,1342,1170,320298,8346,2719,631,724,3952,21476,70237,212213,473067,100727,3248,26472,26713,14897,6166,10143,8101,4987,21672,2371,3983,3525,2240,2534,3214,1841,1964,350668,8041,1881,562,866,2842,21240,72637,242599
"G1800990","2015-2019","IN",,,"Indiana","18","Marshall County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18099","Marshall County, Indiana",,44635,22229,4489,186,1499,1246,916,299,118,119,106,855,62,235,272,54,103,51,38,40,16885,414,184,23,91,199,1301,2400,12273,22406,4266,86,982,1416,959,207,230,220,166,1058,49,233,263,111,133,98,64,107,17082,324,221,54,73,263,945,2187,13015
"G1801010","2015-2019","IN",,,"Indiana","18","Martin County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18101","Martin County, Indiana",,9859,4973,1062,52,234,379,202,57,61,45,32,73,6,15,14,38,0,0,0,0,3838,77,0,0,0,114,197,501,2949,4886,1039,59,205,353,180,73,73,40,56,81,18,25,0,0,0,32,0,6,3766,54,12,0,0,54,155,531,2960
"G1801030","2015-2019","IN",,,"Indiana","18","Miami County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18103","Miami County, Indiana",,34716,18343,3915,131,1046,898,692,213,331,243,361,282,12,53,54,16,0,0,83,64,14146,154,123,57,22,184,1019,2461,10126,16373,3741,185,809,1215,605,162,333,260,172,202,39,41,17,57,14,15,0,19,12430,257,94,1,0,190,722,1619,9547
"G1801050","2015-2019","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",,143183,71121,27472,434,2711,2779,1903,5334,10381,2896,1034,2129,450,465,454,90,87,259,177,147,41520,644,84,50,102,261,3246,8048,29085,72062,27048,558,2669,2496,1629,5904,9974,2525,1293,1989,438,432,314,211,53,205,145,191,43025,616,103,54,148,219,2930,7339,31616
"G1801070","2015-2019","IN",,,"Indiana","18","Montgomery County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18107","Montgomery County, Indiana",,36881,18637,3564,46,976,1282,682,280,168,37,93,1109,124,126,31,72,235,473,44,4,13964,245,69,11,22,198,810,2189,10420,18244,3420,72,1017,1090,650,190,200,117,84,450,91,124,47,48,1,38,79,22,14374,278,87,49,40,160,829,1984,10947
"G1801090","2015-2019","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,67582,33366,7035,164,1806,2262,1359,499,563,222,160,940,184,193,180,91,46,83,52,111,25391,457,92,34,80,301,1533,3671,19223,34216,7120,243,1565,2174,1349,586,575,272,356,955,188,277,183,65,16,75,49,102,26141,460,87,64,94,113,1297,3576,20450
"G1801110","2015-2019","IN",,,"Indiana","18","Newton County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18111","Newton County, Indiana",,13514,6730,1260,6,248,522,268,127,56,23,10,103,3,1,30,20,22,6,14,7,5367,81,21,2,0,48,296,782,4137,6784,1380,37,505,375,209,84,79,43,48,100,14,3,11,29,0,13,15,15,5304,123,9,0,0,66,293,706,4107
"G1801130","2015-2019","IN",,,"Indiana","18","Noble County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18113","Noble County, Indiana",,45723,22952,4722,143,1259,1626,1038,285,123,101,147,569,31,187,207,18,27,37,21,41,17661,549,178,20,28,276,1316,2786,12508,22771,4726,148,1213,1538,957,304,230,121,215,620,7,222,200,37,49,47,23,35,17425,469,108,10,12,201,1103,2613,12909
"G1801150","2015-2019","IN",,,"Indiana","18","Ohio County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18115","Ohio County, Indiana",,5704,2825,566,0,199,101,125,51,0,44,46,10,0,0,0,0,0,10,0,0,2249,40,3,0,11,5,122,276,1792,2879,481,6,169,129,64,5,51,52,5,26,0,0,15,0,0,0,0,11,2372,85,12,0,0,60,62,262,1891
"G1801170","2015-2019","IN",,,"Indiana","18","Orange County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18117","Orange County, Indiana",,18866,9481,1833,114,465,729,392,42,38,13,40,175,13,33,45,37,12,13,11,11,7473,177,17,0,14,174,488,1072,5531,9385,1811,35,504,570,381,125,103,16,77,185,31,67,39,5,7,28,8,0,7389,122,12,6,19,58,390,1002,5780
"G1801190","2015-2019","IN",,,"Indiana","18","Owen County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18119","Owen County, Indiana",,20260,10303,1684,46,480,510,402,91,34,60,61,328,24,111,133,23,0,7,5,25,8291,156,27,0,4,147,493,1082,6382,9957,1772,114,452,503,316,94,137,70,86,425,69,79,151,48,47,0,23,8,7760,140,0,0,53,46,364,979,6178
"G1801210","2015-2019","IN",,,"Indiana","18","Parke County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18121","Parke County, Indiana",,16243,7789,1383,28,429,455,232,64,101,36,38,210,13,117,19,0,26,25,8,2,6196,105,11,7,96,68,285,863,4761,8454,1238,51,359,341,276,91,94,9,17,226,20,38,148,0,18,2,0,0,6990,130,51,0,9,41,457,1151,5151
"G1801230","2015-2019","IN",,,"Indiana","18","Perry County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18123","Perry County, Indiana",,18515,9881,1681,49,370,740,316,103,53,7,43,200,37,33,44,8,0,13,37,28,8000,147,27,3,12,82,569,1465,5695,8634,1715,95,507,523,289,63,90,91,57,217,14,41,34,42,0,10,36,40,6702,154,11,0,0,92,329,884,5232
"G1801250","2015-2019","IN",,,"Indiana","18","Pike County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18125","Pike County, Indiana",,11993,5950,1251,36,336,446,252,103,37,27,14,44,11,0,0,0,6,0,12,15,4655,57,0,31,0,13,268,654,3632,6043,1383,89,401,302,275,49,121,75,71,114,20,33,8,0,4,0,25,24,4546,98,15,32,4,65,168,522,3642
